"state","county","GEOID","total_county_pop","Organization","Spending"
"AK","Anchorage Municipality",2020,292090,"cdbg_entitlement",3767125
"AK","Anchorage Municipality",2020,292090,"coc",7236937
"AK","Anchorage Municipality",2020,292090,"elderly",2175033
"AK","Anchorage Municipality",2020,292090,"hcv",1.1e+08
"AK","Anchorage Municipality",2020,292090,"home",1552291
"AK","Anchorage Municipality",2020,292090,"hud_disability",596528
"AK","Anchorage Municipality",2020,292090,"hud_esg",330308
"AK","Anchorage Municipality",2020,292090,"hud_hopwa",924965
"AK","Bethel Census Area",2050,18263,"hcv",466974
"AK","Dillingham Census Area",2070,4934,"elderly",317739
"AK","Fairbanks North Star Borough",2090,98455,"coc",217579
"AK","Fairbanks North Star Borough",2090,98455,"elderly",300979
"AK","Fairbanks North Star Borough",2090,98455,"hud_disability",1085749
"AK","Haines Borough",2100,2547,"elderly",133454
"AK","Juneau City and Borough",2110,32099,"coc",260232
"AK","Juneau City and Borough",2110,32099,"elderly",437497
"AK","Juneau City and Borough",2110,32099,"hcv",1241370
"AK","Juneau City and Borough",2110,32099,"hud_disability",1092700
"AK","Kenai Peninsula Borough",2122,58809,"coc",67313
"AK","Kenai Peninsula Borough",2122,58809,"hud_disability",276699
"AK","Ketchikan Gateway Borough",2130,13833,"hud_disability",108298
"AK","Matanuska-Susitna Borough",2170,107360,"coc",64628
"AK","Matanuska-Susitna Borough",2170,107360,"elderly",210719
"AK","Matanuska-Susitna Borough",2170,107360,"hud_disability",141093
"AK","Nome Census Area",2180,10009,"coc",59144
"AK","Northwest Arctic Borough",2188,7709,"elderly",88033
"AK","Sitka City and Borough",2220,8569,"hud_disability",133001
"AL","Autauga County",1001,55639,"coc",237472
"AL","Autauga County",1001,55639,"hcv",604894
"AL","Baldwin County",1003,218289,"coc",2359582
"AL","Baldwin County",1003,218289,"elderly",333967
"AL","Baldwin County",1003,218289,"hcv",5334797
"AL","Baldwin County",1003,218289,"hud_disability",123559
"AL","Barbour County",1005,25026,"hcv",3500236
"AL","Blount County",1009,57755,"hcv",528200
"AL","Bullock County",1011,10173,"coc",237472
"AL","Butler County",1013,19726,"hcv",1448417
"AL","Calhoun County",1015,114324,"cdbg_entitlement",1069779
"AL","Calhoun County",1015,114324,"elderly",1227932
"AL","Calhoun County",1015,114324,"hcv",7653288
"AL","Calhoun County",1015,114324,"home",746609
"AL","Calhoun County",1015,114324,"hud_hopwa",1805570
"AL","Clarke County",1025,23866,"hud_disability",322
"AL","Clay County",1027,13285,"hcv",201270
"AL","Coffee County",1031,52238,"hcv",2498680
"AL","Colbert County",1033,54957,"coc",69626
"AL","Colbert County",1033,54957,"hcv",3689653
"AL","Colbert County",1033,54957,"hud_disability",168973
"AL","Conecuh County",1035,12219,"hcv",1879235
"AL","Covington County",1039,37096,"elderly",590
"AL","Covington County",1039,37096,"hcv",980325
"AL","Cullman County",1043,83345,"elderly",79102
"AL","Cullman County",1043,83345,"hcv",1376776
"AL","Cullman County",1043,83345,"hud_disability",12051
"AL","Dale County",1045,49293,"hcv",6007109
"AL","Dallas County",1047,38184,"elderly",186226
"AL","Dallas County",1047,38184,"grrp_leading",5280000
"AL","Dallas County",1047,38184,"hcv",9107599
"AL","DeKalb County",1049,71430,"elderly",246116
"AL","DeKalb County",1049,71430,"hcv",1111149
"AL","Elmore County",1051,81526,"coc",237472
"AL","Elmore County",1051,81526,"hcv",242465
"AL","Escambia County",1053,36775,"hcv",965339
"AL","Etowah County",1055,102721,"cdbg_entitlement",1982125
"AL","Etowah County",1055,102721,"elderly",1002594
"AL","Etowah County",1055,102721,"hcv",1025180
"AL","Etowah County",1055,102721,"hud_disability",22268
"AL","Fayette County",1057,16406,"hud_disability",113457
"AL","Franklin County",1059,31587,"coc",69626
"AL","Franklin County",1059,31587,"hcv",1131844
"AL","Houston County",1069,105319,"cdbg_entitlement",1002796
"AL","Houston County",1069,105319,"elderly",703701
"AL","Houston County",1069,105319,"hcv",20261110
"AL","Houston County",1069,105319,"hud_disability",90911
"AL","Jackson County",1071,51765,"hcv",1714741
"AL","Jefferson County",1073,658615,"cdbg_entitlement",17851017
"AL","Jefferson County",1073,658615,"coc",11482448
"AL","Jefferson County",1073,658615,"elderly",3185557
"AL","Jefferson County",1073,658615,"hcv",1.51e+08
"AL","Jefferson County",1073,658615,"home",5090808
"AL","Jefferson County",1073,658615,"hud_disability",1100807
"AL","Jefferson County",1073,658615,"hud_esg",1449779
"AL","Jefferson County",1073,658615,"hud_hopwa",5216255
"AL","Lamar County",1075,13854,"hud_disability",547
"AL","Lauderdale County",1077,92870,"cdbg_entitlement",690980
"AL","Lauderdale County",1077,92870,"coc",465581
"AL","Lauderdale County",1077,92870,"elderly",451483
"AL","Lauderdale County",1077,92870,"hcv",6194749
"AL","Lauderdale County",1077,92870,"hud_disability",446453
"AL","Lawrence County",1079,32969,"coc",69626
"AL","Lee County",1081,163461,"cdbg_entitlement",1917798
"AL","Lee County",1081,163461,"elderly",95854
"AL","Lee County",1081,163461,"hcv",16355042
"AL","Limestone County",1083,96921,"coc",269584
"AL","Limestone County",1083,96921,"elderly",16893
"AL","Lowndes County",1085,9936,"coc",237472
"AL","Macon County",1087,18437,"hcv",2126456
"AL","Madison County",1089,367686,"cdbg_entitlement",2769488
"AL","Madison County",1089,367686,"coc",995035
"AL","Madison County",1089,367686,"elderly",944644
"AL","Madison County",1089,367686,"hcv",30608003
"AL","Madison County",1089,367686,"home",1706163
"AL","Madison County",1089,367686,"hud_disability",226672
"AL","Marion County",1093,29818,"coc",69626
"AL","Marion County",1093,29818,"hcv",676585
"AL","Marion County",1093,29818,"hud_disability",57252
"AL","Marshall County",1095,96137,"hcv",9125256
"AL","Marshall County",1095,96137,"hud_disability",11583
"AL","Mobile County",1097,413977,"cdbg_entitlement",8054879
"AL","Mobile County",1097,413977,"coc",4768788
"AL","Mobile County",1097,413977,"elderly",4308575
"AL","Mobile County",1097,413977,"hcv",1.11e+08
"AL","Mobile County",1097,413977,"home",3253864
"AL","Mobile County",1097,413977,"hud_disability",1791009
"AL","Mobile County",1097,413977,"hud_esg",563344
"AL","Monroe County",1099,21006,"hud_disability",1882
"AL","Montgomery County",1101,226451,"cdbg_entitlement",3334005
"AL","Montgomery County",1101,226451,"coc",3042165
"AL","Montgomery County",1101,226451,"elderly",1511158
"AL","Montgomery County",1101,226451,"hcv",51116976
"AL","Montgomery County",1101,226451,"home",1956825
"AL","Montgomery County",1101,226451,"hud_disability",257655
"AL","Montgomery County",1101,226451,"hud_esg",293015
"AL","Montgomery County",1101,226451,"hud_hopwa",8112463
"AL","Morgan County",1103,119352,"cdbg_entitlement",853577
"AL","Morgan County",1103,119352,"coc",269584
"AL","Morgan County",1103,119352,"elderly",71663
"AL","Morgan County",1103,119352,"hcv",10078092
"AL","Morgan County",1103,119352,"hud_disability",90458
"AL","Perry County",1105,9104,"hcv",352613
"AL","Pickens County",1107,20049,"hcv",1273432
"AL","Pike County",1109,33274,"hcv",15848728
"AL","Randolph County",1111,22732,"hcv",199348
"AL","Russell County",1113,57938,"hcv",10161121
"AL","Shelby County",1117,216350,"coc",3502084
"AL","Shelby County",1117,216350,"hcv",2732923
"AL","St. Clair County",1115,88929,"coc",3502084
"AL","St. Clair County",1115,88929,"hcv",885944
"AL","St. Clair County",1115,88929,"hud_disability",125994
"AL","Sumter County",1119,12595,"hcv",961363
"AL","Talladega County",1121,80244,"elderly",833126
"AL","Talladega County",1121,80244,"hcv",7174640
"AL","Tallapoosa County",1123,40450,"hcv",2682298
"AL","Tuscaloosa County",1125,208854,"cdbg_entitlement",1644018
"AL","Tuscaloosa County",1125,208854,"coc",365846
"AL","Tuscaloosa County",1125,208854,"elderly",239026
"AL","Tuscaloosa County",1125,208854,"hcv",27008879
"AL","Tuscaloosa County",1125,208854,"home",1052427
"AL","Tuscaloosa County",1125,208854,"hud_disability",708
"AL","Walker County",1127,63802,"elderly",74280
"AL","Walker County",1127,63802,"hcv",4038506
"AL","Walker County",1127,63802,"hud_disability",320
"AL","Winston County",1133,23712,"coc",69626
"AL","Winston County",1133,23712,"hud_disability",412
"AR","Arkansas County",5001,17761,"coc",14579
"AR","Arkansas County",5001,17761,"elderly",253526
"AR","Arkansas County",5001,17761,"hcv",1892374
"AR","Arkansas County",5001,17761,"hud_disability",222449
"AR","Ashley County",5003,20000,"coc",14579
"AR","Ashley County",5003,20000,"elderly",126133
"AR","Ashley County",5003,20000,"hcv",1604324
"AR","Baxter County",5005,41673,"elderly",115137
"AR","Benton County",5007,273510,"cdbg_entitlement",1293533
"AR","Benton County",5007,273510,"coc",128544
"AR","Benton County",5007,273510,"elderly",551256
"AR","Benton County",5007,273510,"hcv",4015317
"AR","Boone County",5009,37525,"elderly",289571
"AR","Boone County",5009,37525,"hcv",9938468
"AR","Boone County",5009,37525,"hud_disability",20585
"AR","Bradley County",5011,10805,"coc",14579
"AR","Bradley County",5011,10805,"hcv",407300
"AR","Calhoun County",5013,5160,"coc",14579
"AR","Carroll County",5015,28062,"coc",128544
"AR","Carroll County",5015,28062,"elderly",213356
"AR","Chicot County",5017,10433,"coc",14579
"AR","Chicot County",5017,10433,"hcv",1156040
"AR","Clark County",5019,22341,"hcv",1200861
"AR","Clay County",5021,14710,"elderly",62684
"AR","Clay County",5021,14710,"hcv",827936
"AR","Cleburne County",5023,25063,"elderly",224384
"AR","Cleveland County",5025,8063,"coc",14579
"AR","Columbia County",5027,23620,"coc",14579
"AR","Conway County",5029,20895,"hcv",2100011
"AR","Craighead County",5031,109081,"cdbg_entitlement",1274323
"AR","Craighead County",5031,109081,"elderly",868486
"AR","Craighead County",5031,109081,"grrp_comp",2960000
"AR","Craighead County",5031,109081,"hcv",18791211
"AR","Craighead County",5031,109081,"hud_disability",212060
"AR","Crawford County",5033,63118,"hcv",2861185
"AR","Crittenden County",5035,48381,"cdbg_entitlement",524316
"AR","Crittenden County",5035,48381,"hcv",5366891
"AR","Crittenden County",5035,48381,"hud_disability",118674
"AR","Cross County",5037,16576,"hcv",1639301
"AR","Cross County",5037,16576,"hud_disability",182054
"AR","Dallas County",5039,7114,"coc",14579
"AR","Dallas County",5039,7114,"elderly",111227
"AR","Dallas County",5039,7114,"hud_disability",48722
"AR","Desha County",5041,11538,"coc",14579
"AR","Desha County",5041,11538,"hcv",3462346
"AR","Desha County",5041,11538,"hud_disability",70807
"AR","Drew County",5043,18263,"coc",14579
"AR","Drew County",5043,18263,"hcv",2408645
"AR","Drew County",5043,18263,"hud_disability",54350
"AR","Faulkner County",5045,124800,"cdbg_entitlement",958487
"AR","Faulkner County",5045,124800,"coc",159291
"AR","Faulkner County",5045,124800,"hcv",4118526
"AR","Faulkner County",5045,124800,"hud_disability",274523
"AR","Fulton County",5049,12301,"hud_disability",126
"AR","Garland County",5051,99043,"cdbg_entitlement",876001
"AR","Garland County",5051,99043,"elderly",112632
"AR","Garland County",5051,99043,"hcv",10523560
"AR","Garland County",5051,99043,"hud_disability",556280
"AR","Grant County",5053,18229,"coc",14579
"AR","Grant County",5053,18229,"elderly",138498
"AR","Greene County",5055,45197,"elderly",62822
"AR","Greene County",5055,45197,"hcv",5831334
"AR","Greene County",5055,45197,"hud_disability",53178
"AR","Hempstead County",5057,21695,"hcv",721134
"AR","Hot Spring County",5059,33667,"elderly",197743
"AR","Hot Spring County",5059,33667,"hud_disability",584937
"AR","Independence County",5063,37585,"elderly",421363
"AR","Independence County",5063,37585,"hud_disability",138578
"AR","Izard County",5065,13596,"elderly",40706
"AR","Izard County",5065,13596,"hcv",17388336
"AR","Izard County",5065,13596,"hud_disability",158237
"AR","Jackson County",5067,16908,"hud_disability",105820
"AR","Jefferson County",5069,68123,"cdbg_entitlement",1315613
"AR","Jefferson County",5069,68123,"coc",251854
"AR","Jefferson County",5069,68123,"elderly",337120
"AR","Jefferson County",5069,68123,"hcv",10040990
"AR","Jefferson County",5069,68123,"home",510971
"AR","Johnson County",5071,26475,"hcv",1724160
"AR","Johnson County",5071,26475,"hud_disability",97720
"AR","Lafayette County",5073,6728,"hud_disability",110086
"AR","Lawrence County",5075,16511,"elderly",33745
"AR","Lawrence County",5075,16511,"hcv",2945412
"AR","Lee County",5077,8963,"hcv",1896405
"AR","Lincoln County",5079,13278,"coc",14579
"AR","Lincoln County",5079,13278,"elderly",63622
"AR","Lincoln County",5079,13278,"hcv",213602
"AR","Little River County",5081,12345,"hcv",381897
"AR","Logan County",5083,21619,"hcv",461801
"AR","Lonoke County",5085,73163,"coc",676455
"AR","Lonoke County",5085,73163,"elderly",109213
"AR","Lonoke County",5085,73163,"hcv",4195502
"AR","Madison County",5087,16393,"coc",128544
"AR","Madison County",5087,16393,"elderly",88239
"AR","Marion County",5089,16586,"elderly",70862
"AR","Miller County",5091,43515,"cdbg_entitlement",609007
"AR","Miller County",5091,43515,"hcv",9988809
"AR","Miller County",5091,43515,"hud_disability",77986
"AR","Mississippi County",5093,41396,"elderly",430024
"AR","Mississippi County",5093,41396,"hcv",4315404
"AR","Mississippi County",5093,41396,"hud_disability",159297
"AR","Monroe County",5095,6879,"elderly",121581
"AR","Monroe County",5095,6879,"hcv",233553
"AR","Montgomery County",5097,8964,"elderly",84689
"AR","Nevada County",5099,8249,"hcv",663547
"AR","Ouachita County",5103,23597,"coc",14579
"AR","Ouachita County",5103,23597,"hcv",3667645
"AR","Perry County",5105,10342,"elderly",87285
"AR","Phillips County",5107,18151,"elderly",182051
"AR","Phillips County",5107,18151,"hcv",3449553
"AR","Phillips County",5107,18151,"hud_disability",369564
"AR","Pike County",5109,10714,"hcv",1337991
"AR","Poinsett County",5111,23747,"elderly",179318
"AR","Poinsett County",5111,23747,"hcv",2332443
"AR","Polk County",5113,19999,"hcv",418693
"AR","Pope County",5115,63926,"elderly",179735
"AR","Pope County",5115,63926,"hcv",2691719
"AR","Pope County",5115,63926,"hud_disability",361471
"AR","Prairie County",5117,8138,"coc",676455
"AR","Prairie County",5117,8138,"hcv",1566149
"AR","Pulaski County",5119,393078,"cdbg_entitlement",4804506
"AR","Pulaski County",5119,393078,"coc",3358184
"AR","Pulaski County",5119,393078,"elderly",3079197
"AR","Pulaski County",5119,393078,"hcv",76365765
"AR","Pulaski County",5119,393078,"home",2468998
"AR","Pulaski County",5119,393078,"hud_disability",1600535
"AR","Pulaski County",5119,393078,"hud_hopwa",5669747
"AR","Randolph County",5121,17934,"hcv",1074287
"AR","Randolph County",5121,17934,"hud_disability",81685
"AR","Saline County",5125,120990,"coc",676455
"AR","Saline County",5125,120990,"elderly",77074
"AR","Saline County",5125,120990,"hcv",6992646
"AR","Saline County",5125,120990,"hud_disability",530502
"AR","Scott County",5127,10269,"hcv",890319
"AR","Searcy County",5129,7898,"hud_disability",73452
"AR","Sebastian County",5131,127670,"cdbg_entitlement",1661982
"AR","Sebastian County",5131,127670,"coc",50000
"AR","Sebastian County",5131,127670,"hcv",16658453
"AR","Sebastian County",5131,127670,"home",941280
"AR","Sharp County",5135,17217,"elderly",114279
"AR","Sharp County",5135,17217,"hud_disability",157084
"AR","St. Francis County",5123,25477,"elderly",426570
"AR","St. Francis County",5123,25477,"hcv",4568471
"AR","St. Francis County",5123,25477,"hud_disability",68399
"AR","Stone County",5137,12582,"hud_disability",56978
"AR","Union County",5139,39089,"coc",14579
"AR","Union County",5139,39089,"elderly",315334
"AR","Van Buren County",5141,16578,"hud_disability",186425
"AR","Washington County",5143,236198,"cdbg_entitlement",3217636
"AR","Washington County",5143,236198,"coc",484608
"AR","Washington County",5143,236198,"elderly",88423
"AR","Washington County",5143,236198,"hcv",9423683
"AR","Washington County",5143,236198,"home",1039815
"AR","Washington County",5143,236198,"hud_disability",55690
"AR","White County",5145,78725,"elderly",704833
"AR","White County",5145,78725,"hcv",1360691
"AR","White County",5145,78725,"hud_disability",341061
"AR","Woodruff County",5147,6477,"elderly",142193
"AR","Yell County",5149,21425,"hcv",645170
"AZ","Apache County",4001,71714,"hcv",675208
"AZ","Cochise County",4003,126442,"cdbg_entitlement",838105
"AZ","Cochise County",4003,126442,"hcv",9793326
"AZ","Cochise County",4003,126442,"hud_hopwa",643013
